,LocationName,Latitude,longitude
2,SanRafaelHall,34.411365,-119.852618
3,CARILLO,34.409986,-119.852546
5,EventsCenterN,34.413522,-119.851730
6,EventsCenterS,34.414064,-119.851657
7,StudentHealth,34.415168,-119.853050
8,HSSB,34.414203,-119.850176
10,ASBikeShop,34.414399,-119.849429
11,GGSE,34.414627,-119.850250
12,PollockTheater,34.414671,-119.849278
13,RobertsonGym,34.416602,-119.849578
14,RECREATIONCENTER,34.417485,-119.848502
15,Lot30,34.417737,-119.853023
16,StadiumRoad,34.419235,-119.853748
17,HARDERSTADIUM,34.419977,-119.853378
18,Lot17,34.419779,-119.850247
19,Lot15,34.416046,-119.847737
20,NorthHall,34.415306,-119.847737
21,ARBOR,34.413694,-119.847779
23,ARTS,34.412770,-119.848901
24,MUSIC,34.412364,-119.847817
26,CAMPBELL,34.416612,-119.845334
29,CHEMISTRY,34.415696,-119.842306
30,CNSI,34.415858,-119.840049
31,PhysicalSciencesSouth,34.414565,-119.842136
32,BROIDA,34.414329,-119.843444
33,BREN,34.413523,-119.842423
36,LIBRARY,34.412807,-119.845575
38,CollegeOfCreativeStudies,34.410970,-119.846107
39,ORTEGA,34.410814,-119.846774
40,SANMIGOLAS,34.410667,-119.847222
43,DLG,34.409889,-119.844741
44,SANTAROSA,34.410791,-119.845368
45,SANTACATALINA,34.418219,-119.867291
46,ANACAPA,34.411123,-119.843881
50,SANTACRUZ,34.410163,-119.844150
51,SRB ,34.412778,-119.851935
53,MarineBiotechnologyLaboratory,34.408264,-119.842949
54,BioII,34.411715,-119.842564
55,LSB,34.412114,-119.843621
56,UCSBLagoon,34.407795,-119.850394
,,,
,,,
,,,
,,,
,,,
