Year,Month Reported,Category,Day of Week,Time of Day,Location,Bike Brand,Lock,Registered?,Property Value
10,March,theft bicycle,Friday,Unknown,Santa Catalina,Raleigh,Not listed,Yes,50
10,December,theft bicycle,Friday,Unknown,Anacapa,Bianchi,U-Lock,Yes,50
10,January,theft bicycle,Friday,Unknown,"Miranda, Las Encinas",Electra,Cable Lock,Yes,65
10,October,theft bicycle,Friday,0800-1600,Davidson Library,Huffy,Cable Lock,Yes,90
10,October,theft bicycle,Friday,0800-1600,Student resources Bldg.,Diamondback,Not Locked,No,100
10,January,theft bicycle,Friday,1600-2400,Anacapa Hall,Huffy,U-Lock,Yes,100
10,January,theft bicycle,Friday,0800-1600,Broida Hall,Unknown,U-Lock,Yes,100
10,May,theft bicycle,Friday,2400-0800,Anacapa,Pacific,Cable Lock,No,115
10,October,theft bicycle,Friday,2400-0800,Santa Catalina,Urban,U-Lock,Yes,140
10,January,theft bicycle,Friday,0800-1600,Davidson Library,Pantera,Not Locked,Yes,160
10,October,theft bicycle,Friday,0800-1600,Anacapa,Magna,Cable Lock,Yes,175
10,October,theft bicycle,Friday,1600-2400,Harder Stadium,Pantera,U-Lock,Yes,175
10,December,theft bicycle,Friday,2400-0800,Santa Catalina,Cannondale,U-Lock,No,320
10,April,theft bicycle,Friday,0800-1600,HSSB,Fuji,Cable Lock,No,330
10,April,theft bicycle,Friday,Unknown,UCEN,Unknown,Cable Lock,No,340
10,May,theft bicycle,Friday,Unknown,Santa Catalina,Alpha,U-Lock,Yes,530
10,March,theft bicycle,Friday,0800-1600,Phelps Hall,Specialized,Not Locked,No,3000
10,June,theft bicycle,Monday,0800-1600,Lagoon Rd.,Raleigh,Not Locked,No,50
10,September,theft bicycle,Monday,0800-1600,Noble Hall,Urban,U-Lock,Yes,65
10,September,theft bicycle,Monday,0800-1600,"Arguello, Las Encinas Quad",Huffy,Cable Lock,Yes,70
10,October,theft bicycle,Monday,2400-0800,Santa Catalina,Trek,Cable Lock,Yes,70
10,March,theft bicycle,Monday,1600-2400,Library,Unknown,Not Locked,Yes,75
10,May,theft bicycle,Monday,1600-2400,Broida,Schwinn,Cable Lock,Yes,85
10,November,theft bicycle,Monday,0800-1600,Davidson Library,Motobecane,Cable Lock,No,90
10,February,theft bicycle,Monday,0800-1600,Kerr Hall,Urban ,Not Locked,Yes,120
10,December,theft bicycle,Monday,1600-2400,PS 22,Unknown,U-Lock,No,125
10,February,theft bicycle,Monday,0800-1600,Santa Ynez,GNC,U-Lock,Yes,175
10,December,theft bicycle,Monday,1600-2400,Campbell Hall,Schwinn,Cable Lock,No,210
10,March,theft bicycle,Monday,0800-1600,Santa Catalina,Schwinn,U-Lock,Yes,220
10,April,theft bicycle,Monday,Unknown,Events Center,Urban ,U-Lock,Yes,240
10,November,theft bicycle,Monday,1600-2400,Engineering II,Trek,Cable Lock,No,300
10,November,theft bicycle,Monday,2400-0800,San Nicolas,Electra,Not Locked,Yes,300
10,April,theft bicycle,Monday,2400-0800,Santa Catalina,Fuji,U-Lock,Yes,300
10,May,theft bicycle,Monday,0800-1600,IV Theatre,Unknown,Cable Lock,No,310
10,October,theft bicycle,Monday,0800-1600,Student Health,KHS ,U-Lock,No,330
10,November,theft bicycle,Monday,0800-1600,Santa Catalina,Trek,U-Lock,No,380
